figure_id,xaxis,x,lci,uci,pred
GT8,GT6v3,5.48453083897393e-08,3.0354426498597396e-11,1.23802061538558e-10,6.27293923058206e-11
GT8,GT6v3,6.98760797408256e-08,3.6605651994515296e-11,1.38260745466276e-10,7.2737099792622e-11
GT8,GT6v3,8.90261476013451e-08,4.4719596020221594e-11,1.55990575074886e-10,8.43414146346024e-11
GT8,GT6v3,1.13424436318311e-07,5.3800971673731593e-11,1.7581551392565e-10,9.7797056011951e-11
GT8,GT6v3,1.44509260489804e-07,6.4944180806786e-11,1.97615260341894e-10,1.1339938043534801e-10
GT8,GT6v3,1.84113115702025e-07,7.809149792334929e-11,2.22432441244622e-10,1.31490864935129e-10
GT8,GT6v3,2.34570706808777e-07,9.329023990828049e-11,2.51817448430413e-10,1.5246862456401002e-10
GT8,GT6v3,2.98856582177564e-07,1.12025541823444e-10,2.82835683010242e-10,1.7679312922544002e-10
GT8,GT6v3,3.80760487641217e-07,1.32849604286839e-10,3.20878231577101e-10,2.04998311165331e-10
GT8,GT6v3,4.85110777525519e-07,1.5856438320825e-10,3.6536592493410503e-10,2.37703284990505e-10
GT8,GT6v3,6.18059053157749e-07,1.87927746475808e-10,4.2323348927516803e-10,2.7562593747276e-10
GT8,GT6v3,7.8744280871014e-07,2.20465714629633e-10,4.82841089114061e-10,3.19598685440015e-10
GT8,GT6v3,1.00324746287803e-06,2.57422340612623e-10,5.58243549123307e-10,3.70586747646271e-10
GT8,GT6v3,1.27819501383206e-06,2.98417821454162e-10,6.489959873574061e-10,4.2970933169504e-10
GT8,GT6v3,1.62849401950968e-06,3.42573995208438e-10,7.650741170991901e-10,4.98264201077279e-10
GT8,GT6v3,2.07479511567493e-06,3.93793121535828e-10,8.986964502042841e-10,5.777561615798771e-10
GT8,GT6v3,2.64340840092532e-06,4.50155987197914e-10,1.05630387276817e-09,6.69930092352234e-10
GT8,GT6v3,3.36785445526244e-06,5.061342706143631e-10,1.24611132476427e-09,7.76809246675636e-10
GT8,GT6v3,4.29084042702621e-06,5.78374911640408e-10,1.4787411107664e-09,9.00739663152044e-10
GT8,GT6v3,5.46677768139115e-06,6.49736197614121e-10,1.7989923757106602e-09,1.0444416621549802e-09
GT8,GT6v3,6.96498942946448e-06,7.20421511193144e-10,2.1696326459489104e-09,1.21106955790945e-09
GT8,GT6v3,8.87379743238562e-06,8.17248135103448e-10,2.6058056365697504e-09,1.4042808969040901e-09
GT8,GT6v3,1.13057286975766e-05,8.9697518835355e-10,3.1549627850014103e-09,1.62831674244528e-09
GT8,GT6v3,1.44041491094578e-05,1.0030576881088502e-09,3.81306906339099e-09,1.88809476763015e-09
GT8,GT6v3,1.83517150568072e-05,1.1132703757832901e-09,4.58491682903093e-09,2.18931720016518e-09
GT8,GT6v3,2.33811412924843e-05,1.2410477028107401e-09,5.52426601343393e-09,2.5385959884604502e-09
GT8,GT6v3,2.9788919806508e-05,1.3766968995943602e-09,6.70202523795233e-09,2.9435979364439803e-09
GT8,GT6v3,3.79527984600052e-05,1.5408842217188101e-09,8.136316281531771e-09,3.4132129928606705e-09
GT8,GT6v3,4.83540497709181e-05,1.70795039383297e-09,9.875008447501542e-09,3.95774938907138e-09
GT8,GT6v3,6.1605842628768e-05,1.90135244138737e-09,1.19603393349412e-08,4.5891599087014e-09
GT8,GT6v3,7.8489389492318e-05,2.1253168695194703e-09,1.4542944793252e-08,5.321304255844691e-09
GT8,GT6v3,0.0001,2.3896709120586704e-09,1.75795981538616e-08,6.1702532809068e-09
GT8,GT6v4,1.6e-08,1.3647405222155098e-11,5.46834692882248e-10,8.315450715507189e-11
GT8,GT6v4,2.00193623107791e-08,1.5072567310330198e-11,5.2767161769617e-10,8.58789157890736e-11
GT8,GT6v4,2.50484292081401e-08,1.67485648711085e-11,5.064916278530631e-10,8.86925847970342e-11
GT8,GT6v4,3.13408487271036e-08,1.8385800427752e-11,4.85848312396583e-10,9.159843863538779e-11
GT8,GT6v4,3.92139878622004e-08,2.0445566301459e-11,4.65464336548457e-10,9.45994975751509e-11
GT8,GT6v4,4.90649394164926e-08,2.2574150903632697e-11,4.458985689572e-10,9.769888084111559e-11
GT8,GT6v4,6.13905499334494e-08,2.47648846099687e-11,4.27243717955243e-10,1.00899809853893e-10
GT8,GT6v4,7.6812478848481e-08,2.7336229275550897e-11,4.12665879657372e-10,1.04205611578175e-10
GT8,GT6v4,9.61085527535498e-08,3.0148891835881797e-11,3.96282278721231e-10,1.07619721980701e-10
GT8,GT6v4,1.20251996171121e-07,3.3290176558443196e-11,3.8045544898112803e-10,1.11145689601509e-10
GT8,GT6v4,1.50460517496506e-07,3.67178962109929e-11,3.6841961355890703e-10,1.14787179242206e-10
GT8,GT6v4,1.88257725826866e-07,4.0390811948398495e-11,3.5950122302606005e-10,1.18547975775062e-10
GT8,GT6v4,2.35549976320709e-07,4.39196609648334e-11,3.47431897823635e-10,1.22431988076917e-10
GT8,GT6v4,2.94722519891231e-07,4.8085374643495894e-11,3.35464866082698e-10,1.26443253091967e-10
